,Plot_Specification,Construction Status,Total Area,Price per Sq ft,Location,city,Builder,BHK,price(in_lakhs)
602,Apartment,Under Construction,1155 ,"6,460 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,74.62
603,Apartment,Under Construction,1280 ,"6,429 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,82.29
604,Apartment,Under Construction,1280 ,"6,429 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,82.29
605,Apartment,Under Construction,1130 ,"6,571 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,74.25
606,Apartment,Under Construction,1130 ,"6,571 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,74.25
607,Apartment,Under Construction,1125 ,"6,573 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,73.94
608,Apartment,Under Construction,1125 ,"6,573 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,73.94
609,Apartment,Under Construction,1190 ,"6,555 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,78.0
610,Apartment,Under Construction,1190 ,"6,555 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,78.0
611,Apartment,Under Construction,1465 ,"6,393 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,93.66
612,Apartment,Under Construction,1465 ,"6,393 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,93.66
613,Apartment,Under Construction,1200 ,"6,448 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,77.38
614,Apartment,Under Construction,1200 ,"6,448 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,77.38
615,Apartment,Under Construction,1330 ,"6,418 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,85.37
616,Apartment,Under Construction,1330 ,"6,418 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,85.37
617,Villa,Under Construction,2666 ,"7,524 / sq ft",Chandapura,Bangalore,MAA HOMES,3,200.0
618,Independent,Ready to move,1350 ,"6,593 / sq ft",Electronic City Phase 1,Bangalore,Annciya Projects LLP,3,89.0
619,Apartment,Under Construction,1061 ,"7,842 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,Mana Projects Pvt Ltd,2,83.21
620,Apartment,Under Construction,1088 ,"7,721 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,Mana Projects Pvt Ltd,2,84.0
621,Apartment,Under Construction,1088 ,"7,721 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,Mana Projects Pvt Ltd,2,84.0
622,Apartment,Under Construction,1063 ,"7,840 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,Mana Projects Pvt Ltd,2,83.34
623,Apartment,Under Construction,1063 ,"7,840 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,Mana Projects Pvt Ltd,2,83.34
624,Apartment,Under Construction,1060 ,"7,844 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,Mana Projects Pvt Ltd,2,83.14
625,Apartment,Under Construction,1060 ,"7,844 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,Mana Projects Pvt Ltd,2,83.14
626,Apartment,Under Construction,1061 ,"7,748 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,Mana Projects Pvt Ltd,2,82.21
627,Apartment,Under Construction,1061 ,"7,748 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,Mana Projects Pvt Ltd,2,82.21
628,Apartment,Under Construction,1081 ,"7,820 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,Mana Projects Pvt Ltd,2,84.54
629,Apartment,Under Construction,1081 ,"7,820 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,Mana Projects Pvt Ltd,2,84.54
630,Apartment,Under Construction,1039 ,"7,772 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,Mana Projects Pvt Ltd,2,80.75
631,Apartment,Under Construction,1039 ,"7,772 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,Mana Projects Pvt Ltd,2,80.75
632,Apartment,Under Construction,1074 ,"7,828 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,Mana Projects Pvt Ltd,2,84.07
633,Apartment,Under Construction,1074 ,"7,828 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,Mana Projects Pvt Ltd,2,84.07
634,Apartment,Under Construction,1422 ,"6,659 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,DSR Infrastructure Pvt Ltd,3,94.7
635,Apartment,Under Construction,1105 ,"6,720 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,DSR Infrastructure Pvt Ltd,2,74.26
636,Apartment,Under Construction,1104 ,"6,720 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,DSR Infrastructure Pvt Ltd,2,74.19
637,Apartment,Under Construction,1103 ,"6,720 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,DSR Infrastructure Pvt Ltd,2,74.13
638,Apartment,Under Construction,1100 ,"6,721 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,DSR Infrastructure Pvt Ltd,2,73.93
639,Apartment,Under Construction,1099 ,"6,721 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,DSR Infrastructure Pvt Ltd,2,73.87
640,Apartment,Under Construction,625 ,"6,929 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,DSR Infrastructure Pvt Ltd,1,43.3
641,Apartment,Under Construction,1210 ,"6,696 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,DSR Infrastructure Pvt Ltd,2,81.03
642,Apartment,Under Construction,780 ,"6,833 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,DSR Infrastructure Pvt Ltd,1,53.3
643,Apartment,Under Construction,619 ,"6,933 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,DSR Infrastructure Pvt Ltd,1,42.91
644,Apartment,Under Construction,1390 ,"6,664 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,DSR Infrastructure Pvt Ltd,3,92.64
645,Apartment,Under Construction,875 ,"6,791 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,DSR Infrastructure Pvt Ltd,2,59.42
646,Apartment,Under Construction,880 ,"6,789 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,DSR Infrastructure Pvt Ltd,2,59.75
647,Apartment,Under Construction,646 ,"6,913 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,DSR Infrastructure Pvt Ltd,1,44.66
648,Apartment,Under Construction,1148 ,"8,361 / sq ft",RR Nagar,Bangalore,Navami Builders and Developers,2,95.99
649,Apartment,Under Construction,1240 ,"8,305 / sq ft",RR Nagar,Bangalore,Navami Builders and Developers,2,102.0
650,Apartment,Under Construction,1652 ,"8,130 / sq ft",RR Nagar,Bangalore,Navami Builders and Developers,3,134.0
651,Apartment,Under Construction,1148 ,"8,361 / sq ft",RR Nagar,Bangalore,Navami Builders and Developers,2,95.99
652,Apartment,Under Construction,1652 ,"8,130 / sq ft",RR Nagar,Bangalore,Navami Builders and Developers,3,134.0
